covariate,topic,spearman_rho,p_value,n_states,fdr_q_value,significant_fdr
education,topic_63,0.5328603693040082,0.0008203563370503137,36,0.046365477345952685,True
education,topic_64,-0.5177551087670571,0.0012201441406829653,36,0.046365477345952685,True
education,topic_53,0.43991920994046946,0.0072573271370438225,36,0.12985706467000624,False
education,topic_60,0.4392482235498106,0.007357135075969218,36,0.12985706467000624,False
education,topic_51,0.4318185517826768,0.0085432279388162,36,0.12985706467000624,False
education,topic_13,0.3712652514807285,0.02579184727476573,36,0.3266967321470326,False
education,topic_62,0.353907215209371,0.03421093053688065,36,0.3714329601147042,False
education,topic_36,0.3439439593301266,0.03997849593337541,36,0.37979571136706636,False
education,topic_6,-0.2974834272751102,0.07806163439421551,36,0.5483257938210063,False
education,topic_74,0.2964024047443571,0.07920163739080419,36,0.5483257938210063,False
education,topic_54,0.29453935173192575,0.08119663156933243,36,0.5483257938210063,False
education,topic_52,-0.2896850674394713,0.08657775691910626,36,0.5483257938210063,False
education,topic_25,0.27440609375604585,0.10531993297947637,36,0.6157165312646311,False
education,topic_26,0.26136450644952847,0.12362209975581932,36,0.6497040315262005,False
education,topic_43,0.2566993379990658,0.13071378486356477,36,0.6497040315262005,False
education,topic_7,0.2496498924446868,0.14199522612921922,36,0.6497040315262005,False
education,topic_50,0.24764610926549183,0.14532853336770274,36,0.6497040315262005,False
education,topic_72,0.2330511193982802,0.17134988452390215,36,0.6627750968129021,False
education,topic_35,-0.22353092663921628,0.19002423956091796,36,0.6627750968129021,False
education,topic_33,-0.20698557551388677,0.22579795165570332,36,0.6627750968129021,False
education,topic_23,0.19634350619796542,0.2510926753561917,36,0.6627750968129021,False
education,topic_27,0.19470838517394856,0.25514005192598643,36,0.6627750968129021,False
education,topic_4,0.1924910095752337,0.26069751407283714,36,0.6627750968129021,False
education,topic_48,0.19240157195500684,0.26092333842136484,36,0.6627750968129021,False
education,topic_59,0.19046860973130822,0.26583552378366354,36,0.6627750968129021,False
education,topic_2,0.19001029866117405,0.26700907562713166,36,0.6627750968129021,False
education,topic_42,0.18588484292001697,0.27772577567567,36,0.6627750968129021,False
education,topic_39,-0.18585782992108552,0.2777968559864843,36,0.6627750968129021,False
education,topic_34,-0.1828954390075824,0.28566371076941677,36,0.6627750968129021,False
education,topic_29,0.18268013296432653,0.286241021647327,36,0.6627750968129021,False
education,topic_16,0.18135178950735792,0.2898194125063779,36,0.6627750968129021,False
education,topic_9,0.17930501892445969,0.29538921417172864,36,0.6627750968129021,False
education,topic_3,0.17841282137745684,0.2978383985175308,36,0.6627750968129021,False
education,topic_38,-0.17721367766599894,0.3011505363736312,36,0.6627750968129021,False
education,topic_68,0.17574985340031277,0.30522537353225754,36,0.6627750968129021,False
