topic,weighted_dispersion,perm_p_value,n_states,total_docs,fdr_q_value,significant_fdr
topic_merged_0,0.010074412207703137,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_1,0.002068952700415814,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_2,0.00118644339225274,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_3,3.718785859631022e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_4,0.000439786253327842,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_5,1.3517876507547582e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_6,0.0002865237397107678,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_7,0.0009164749024629906,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_8,0.000849315872329075,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_9,0.0005415831945931994,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_10,0.0004004374116660947,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_11,0.0001016574572406559,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_12,0.0005782887514009611,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_13,7.49483224474856e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_14,0.0005766813012702569,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_15,9.503073103868856e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_16,0.0002786645911869057,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_17,0.000206584187144223,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_18,0.0003166345529918425,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_19,0.021563985021643188,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_20,5.585910839705664e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_21,5.050453374607043e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_22,0.0071437481564520944,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_23,0.00010023900030130511,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_24,0.01599859134049984,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_25,7.059803832741755e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_26,0.00010528491887085948,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_27,4.926174964001715e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_28,3.846176326153455e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_29,0.00010435471607826772,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_30,5.649601867078032e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
topic_merged_31,2.758399028149821e-05,0.0001999600079984003,36,68668,0.0001999600079984003,True
