covariate,topic,topic_label,spearman_rho,p_value,n_states,fdr_q_value,significant_fdr,super_topic,ci_low,ci_high,ci_sig
education,SCP Creative Writing,SCP Creative Writing,0.5328603693040082,0.0008203563370503137,36,0.04331511699424527,True,Creative Writing & Roleplay,0.11813384813384814,0.6819562419562418,True
education,Image Generation Requests,Image Generation Requests,-0.5177551087670571,0.0012201441406829653,36,0.04331511699424527,True,"Media, Art, and Entertainment",-0.7714543114543114,-0.1631402831402832,True
education,Game Concept Ideation,Game Concept Ideation,0.43991920994046946,0.0072573271370438225,36,0.17175674224337045,False,"Media, Art, and Entertainment",0.03391248391248392,0.7312870012870013,True
education,Social Media Copy,Social Media Copy,0.3712652514807285,0.02579184727476573,36,0.45780528912709173,False,Career & Professional Writing,-0.009272844272844272,0.6695238095238096,False
education,Education Research Writing,Education Research Writing,0.353907215209371,0.03421093053688065,36,0.4730788685449423,False,Education & Homework,-0.036389961389961395,0.6127992277992277,False
education,Mind & Consciousness,Mind & Consciousness,0.3439439593301266,0.03997849593337541,36,0.4730788685449423,False,Information/Trivia & Explanatory QA,-0.006795366795366791,0.6165958815958815,False
education,Math Problem Solving,Math Problem Solving,-0.2974834272751102,0.07806163439421551,36,0.6147020741256545,False,Education & Homework,-0.6136872586872587,0.0955405405405405,False
education,Tattoo SEO Writing,Tattoo SEO Writing,0.2964024047443571,0.07920163739080419,36,0.6147020741256545,False,Career & Professional Writing,-0.11763191763191765,0.5058043758043759,False
education,SQL Query Help,SQL Query Help,0.29453935173192575,0.08119663156933243,36,0.6147020741256545,False,Coding & Technical Help,-0.09182754182754181,0.5540476190476189,False
education,Fantasy Crossover Fanfiction,Fantasy Crossover Fanfiction,-0.2896850674394713,0.08657775691910626,36,0.6147020741256545,False,Creative Writing & Roleplay,-0.4608236808236808,0.21707207207207202,False
education,Product Listing Copy,Product Listing Copy,0.26136450644952847,0.12362209975581932,36,0.6990645651867834,False,Career & Professional Writing,-0.09935649935649937,0.5351930501930502,False
education,WordGirl Fan Fiction,WordGirl Fan Fiction,0.2566993379990658,0.13071378486356477,36,0.6990645651867834,False,Creative Writing & Roleplay,-0.1814864864864865,0.5045045045045046,False
education,Fetish Comedy Stories,Fetish Comedy Stories,0.2496498924446868,0.14199522612921922,36,0.6990645651867834,False,Creative Writing & Roleplay,-0.17238095238095238,0.599086229086229,False
education,China History/Politics,China History/Politics,0.24764610926549183,0.14532853336770274,36,0.6990645651867834,False,"Politics, Religion, and Society",-0.10992277992277992,0.5501415701415702,False
education,Simple Greeting,Simple Greeting,-0.22898700151077683,0.17915439309190198,36,0.6990645651867834,False,Personal Advice & Communication,-0.5436679536679537,0.13348777348777335,False
education,AI Art Prompting,AI Art Prompting,0.216962934512868,0.20371445334072627,36,0.6990645651867834,False,"Media, Art, and Entertainment",-0.10660875160875162,0.5018146718146717,False
education,Food & Recipe Help,Food & Recipe Help,-0.20698557551388677,0.22579795165570332,36,0.6990645651867834,False,"Finance, Law, and Practical Life",-0.53488416988417,0.16222007722007717,False
education,Professional Email Writing,Professional Email Writing,0.19634350619796542,0.2510926753561917,36,0.6990645651867834,False,Career & Professional Writing,-0.16172458172458176,0.5351544401544402,False
education,Azur Lane Roleplay,Azur Lane Roleplay,0.19470838517394856,0.25514005192598643,36,0.6990645651867834,False,Creative Writing & Roleplay,-0.15605534105534105,0.46126769626769626,False
education,Physics Problem Solving,Physics Problem Solving,0.19240157195500684,0.26092333842136484,36,0.6990645651867834,False,Education & Homework,-0.17812741312741318,0.5009137709137709,False
education,Character Fusion Descriptions,Character Fusion Descriptions,0.19046860973130822,0.26583552378366354,36,0.6990645651867834,False,"Media, Art, and Entertainment",-0.1949227799227799,0.44093951093951095,False
education,Translation & Word Meanings,Translation & Word Meanings,0.19001029866117405,0.26700907562713166,36,0.6990645651867834,False,Information/Trivia & Explanatory QA,-0.16554054054054054,0.4798648648648648,False
education,Customer Service Emails,Customer Service Emails,0.18588484292001697,0.27772577567567,36,0.6990645651867834,False,Career & Professional Writing,-0.20058558558558556,0.5274259974259975,False
education,Song Lyric Writing,Song Lyric Writing,-0.18585782992108552,0.2777968559864843,36,0.6990645651867834,False,Creative Writing & Roleplay,-0.5561068211068212,0.21624839124839126,False
education,Literary Analysis Help,Literary Analysis Help,-0.1828954390075824,0.28566371076941677,36,0.6990645651867834,False,Education & Homework,-0.4942471042471043,0.2189510939510938,False
education,Rivalry Fight Fiction,Rivalry Fight Fiction,0.18268013296432653,0.286241021647327,36,0.6990645651867834,False,Creative Writing & Roleplay,-0.17633204633204633,0.48218790218790214,False
education,Programming Help,Programming Help,0.18135178950735792,0.2898194125063779,36,0.6990645651867834,False,Coding & Technical Help,-0.18641570141570143,0.4970527670527671,False
education,Scam-Baiting Emails,Scam-Baiting Emails,0.17930501892445969,0.29538921417172864,36,0.6990645651867834,False,"Finance, Law, and Practical Life",-0.21321106821106822,0.5115894465894465,False
education,Political History Questions,Political History Questions,0.17841282137745684,0.2978383985175308,36,0.6990645651867834,False,"Politics, Religion, and Society",-0.17308236808236807,0.5012162162162161,False
education,Essay Writing Help,Essay Writing Help,-0.17721367766599894,0.3011505363736312,36,0.6990645651867834,False,Education & Homework,-0.548970398970399,0.2364414414414413,False
